"Phoneme","Feature","Value","Weight"
"s","Diffuse",5,0
"s","Diffuse",6,0
"s","Diffuse",7,1
"s","Diffuse",8,0
"s","Power",0,0
"s","Power",1,0
"s","Power",2,0
"s","Power",3,0
"s","Power",4,0
"s","Power",5,0
"s","Power",6,1
"s","Power",7,0
"s","Power",8,0
"s","Vocalic",0,0
"s","Vocalic",1,0
"s","Vocalic",2,0
"s","Vocalic",3,0
"s","Vocalic",4,1
"s","Vocalic",5,0
"s","Vocalic",6,0
"s","Vocalic",7,0
"s","Vocalic",8,0
"s","Voiced",0,0
"s","Voiced",1,1
"s","Voiced",2,0
"s","Voiced",3,0
"s","Voiced",4,0
"s","Voiced",5,0
"s","Voiced",6,0
"s","Voiced",7,0
"s","Voiced",8,0
"S","Acute",0,0
"S","Acute",1,0
"S","Acute",2,0.1
"S","Acute",3,0.3
"S","Acute",4,1
"S","Acute",5,0.3
"S","Acute",6,0.1
"S","Acute",7,0
"S","Acute",8,0
"S","Burst",0,0
"S","Burst",1,0
"S","Burst",2,0
"S","Burst",3,0
"S","Burst",4,0
"S","Burst",5,0
"S","Burst",6,0
"S","Burst",7,0
"S","Burst",8,0
"S","Consonantal",0,0
"S","Consonantal",1,0
"S","Consonantal",2,0
"S","Consonantal",3,0
"S","Consonantal",4,0
"S","Consonantal",5,1
"S","Consonantal",6,0
"S","Consonantal",7,0
"S","Consonantal",8,0
"S","Diffuse",0,0
"S","Diffuse",1,0
"S","Diffuse",2,0
"S","Diffuse",3,0
"S","Diffuse",4,0
"S","Diffuse",5,0
"S","Diffuse",6,1
"S","Diffuse",7,0
"S","Diffuse",8,0
"S","Power",0,0
"S","Power",1,0
"S","Power",2,0
"S","Power",3,0
"S","Power",4,0
"S","Power",5,0
"S","Power",6,1
"S","Power",7,0
"S","Power",8,0
"S","Vocalic",0,0
"S","Vocalic",1,0
"S","Vocalic",2,0
"S","Vocalic",3,0
"S","Vocalic",4,1
"S","Vocalic",5,0
"S","Vocalic",6,0
"S","Vocalic",7,0
"S","Vocalic",8,0
"S","Voiced",0,0
"S","Voiced",1,1
"S","Voiced",2,0
"S","Voiced",3,0
"S","Voiced",4,0
"S","Voiced",5,0
"S","Voiced",6,0
"S","Voiced",7,0
"S","Voiced",8,0
"r","Acute",0,0
"r","Acute",1,0
"r","Acute",2,0.75
"r","Acute",3,0.5
"r","Acute",4,0.25
"r","Acute",5,0
"r","Acute",6,0
"r","Acute",7,0
"r","Acute",8,0
"r","Burst",0,0
"r","Burst",1,0
"r","Burst",2,0
"r","Burst",3,0
"r","Burst",4,0
"r","Burst",5,0
"r","Burst",6,0
"r","Burst",7,0
"r","Burst",8,0
"r","Consonantal",0,0
"r","Consonantal",1,0
"r","Consonantal",2,0
"r","Consonantal",3,1
"r","Consonantal",4,0
"r","Consonantal",5,0
"r","Consonantal",6,0
"r","Consonantal",7,0
"r","Consonantal",8,0
"r","Diffuse",0,0
"r","Diffuse",1,1
"r","Diffuse",2,0.5
"r","Diffuse",3,0
"r","Diffuse",4,0
"r","Diffuse",5,0
"r","Diffuse",6,0
"r","Diffuse",7,0
"r","Diffuse",8,0
"r","Power",0,0
"r","Power",1,0
"r","Power",2,0
"r","Power",3,0
"r","Power",4,0
"r","Power",5,0
"r","Power",6,0
"r","Power",7,1
"r","Power",8,0
"r","Vocalic",0,0
"r","Vocalic",1,0
"r","Vocalic",2,0
"r","Vocalic",3,0
"r","Vocalic",4,0
"r","Vocalic",5,0
"r","Vocalic",6,0
"r","Vocalic",7,1
"r","Vocalic",8,0
"r","Voiced",0,0
"r","Voiced",1,0
"r","Voiced",2,0
"r","Voiced",3,0
"r","Voiced",4,0
"r","Voiced",5,0
"r","Voiced",6,0
"r","Voiced",7,0
"r","Voiced",8,1
"l","Acute",0,0
"l","Acute",1,0
"l","Acute",2,0.25
"l","Acute",3,0.5
"l","Acute",4,0.75
"l","Acute",5,0
"l","Acute",6,0
"l","Acute",7,0
"l","Acute",8,0
"l","Burst",0,0
"l","Burst",1,0
"l","Burst",2,0
"l","Burst",3,0
"l","Burst",4,0
"l","Burst",5,0
"l","Burst",6,0
"l","Burst",7,0
"l","Burst",8,0
"l","Consonantal",0,0
"l","Consonantal",1,0
"l","Consonantal",2,0
"l","Consonantal",3,1
"l","Consonantal",4,0
"l","Consonantal",5,0
"l","Consonantal",6,0
"l","Consonantal",7,0
"l","Consonantal",8,0
"l","Diffuse",0,0
"l","Diffuse",1,0.5
"l","Diffuse",2,1
"l","Diffuse",3,0
"l","Diffuse",4,0
"l","Diffuse",5,0
"l","Diffuse",6,0
"l","Diffuse",7,0
"l","Diffuse",8,0
"l","Power",0,0
"l","Power",1,0
"l","Power",2,0
"l","Power",3,0
"l","Power",4,0
"l","Power",5,0
"l","Power",6,0
"l","Power",7,1
"l","Power",8,0
"l","Vocalic",0,0
"l","Vocalic",1,0
"l","Vocalic",2,0
"l","Vocalic",3,0
"l","Vocalic",4,0
"l","Vocalic",5,0
"l","Vocalic",6,0
"l","Vocalic",7,1
"l","Vocalic",8,0
"l","Voiced",0,0
"l","Voiced",1,0
"l","Voiced",2,0
"l","Voiced",3,0
"l","Voiced",4,0
"l","Voiced",5,0
"l","Voiced",6,0
"l","Voiced",7,0
"l","Voiced",8,1
"a","Acute",0,0
"a","Acute",1,1
"a","Acute",2,0.3
"a","Acute",3,0.1
"a","Acute",4,0
"a","Acute",5,0
"a","Acute",6,0
"a","Acute",7,0
"a","Acute",8,0
"a","Burst",0,0
"a","Burst",1,0
"a","Burst",2,0
"a","Burst",3,0
"a","Burst",4,0
"a","Burst",5,0
"a","Burst",6,0
"a","Burst",7,0
"a","Burst",8,0
"a","Consonantal",0,0
"a","Consonantal",1,1
"a","Consonantal",2,0
"a","Consonantal",3,0
"a","Consonantal",4,0
"a","Consonantal",5,0
"a","Consonantal",6,0
"a","Consonantal",7,0
"a","Consonantal",8,0
"a","Diffuse",0,0
"a","Diffuse",1,0
"a","Diffuse",2,1
"a","Diffuse",3,0
"a","Diffuse",4,0
"a","Diffuse",5,0
"a","Diffuse",6,0
"a","Diffuse",7,0
"a","Diffuse",8,0
"a","Power",0,0
"a","Power",1,0
"a","Power",2,0
"a","Power",3,0
"a","Power",4,0
"a","Power",5,0
"a","Power",6,0
"a","Power",7,0
"a","Power",8,1
"a","Vocalic",0,0
"a","Vocalic",1,0
"a","Vocalic",2,0
"a","Vocalic",3,0
"a","Vocalic",4,0
"a","Vocalic",5,0
"a","Vocalic",6,0
"a","Vocalic",7,0
